transaction_id,template_id,competencia,descricao,categoria_id,valor_previsto,valor_final,status,considerar_resumo,payment_account_id,payment_group_id,tipo_lancamento,origem
tx-2025-11-crunchyroll,tpl-crunchyroll,2025-11,Crunchyroll,cat-meli,"14,99","14,99",PAGO,FALSE,acc-credito,fat-credito-2025-11,RECORRENTE,migrado-saidas
tx-2025-12-crunchyroll,tpl-crunchyroll,2025-12,Crunchyroll,cat-meli,"14,99","14,99",PAGO,FALSE,acc-credito,fat-credito-2025-12,RECORRENTE,migrado-saidas
tx-2026-01-crunchyroll,tpl-crunchyroll,2026-01,Crunchyroll,cat-meli,"14,99","14,99",PAGO,FALSE,acc-credito,fat-credito-2026-01,RECORRENTE,migrado-saidas
tx-2026-02-crunchyroll,tpl-crunchyroll,2026-02,Crunchyroll,cat-meli,"14,99","14,99",PAGO,FALSE,acc-credito,fat-credito-2026-02,RECORRENTE,migrado-saidas
tx-2026-03-crunchyroll,tpl-crunchyroll,2026-03,Crunchyroll,cat-meli,"14,99","14,99",PAGO,FALSE,acc-credito,fat-credito-2026-03,RECORRENTE,migrado-saidas
tx-2026-04-crunchyroll,tpl-crunchyroll,2026-04,Crunchyroll,cat-meli,"14,99","14,99",PAGO,FALSE,acc-credito,fat-credito-2026-04,RECORRENTE,migrado-saidas
tx-2026-05-crunchyroll,tpl-crunchyroll,2026-05,Crunchyroll,cat-meli,"14,99","14,99",PAGO,FALSE,acc-credito,fat-credito-2026-05,RECORRENTE,migrado-saidas
tx-2026-06-crunchyroll,tpl-crunchyroll,2026-06,Crunchyroll,cat-meli,"3,9","3,9",PAGO,FALSE,acc-credito,fat-credito-2026-06,RECORRENTE,migrado-saidas
tx-2026-07-crunchyroll,tpl-crunchyroll,2026-07,Crunchyroll,cat-meli,"3,9","3,9",PENDENTE,FALSE,acc-credito,fat-credito-2026-07,RECORRENTE,migrado-saidas
tx-2026-08-crunchyroll,tpl-crunchyroll,2026-08,Crunchyroll,cat-meli,"3,9","3,9",PENDENTE,FALSE,acc-credito,fat-credito-2026-08,RECORRENTE,migrado-saidas
tx-2026-09-crunchyroll,tpl-crunchyroll,2026-09,Crunchyroll,cat-meli,"14,99","14,99",PENDENTE,FALSE,acc-credito,fat-credito-2026-09,RECORRENTE,migrado-saidas
tx-2026-10-crunchyroll,tpl-crunchyroll,2026-10,Crunchyroll,cat-meli,"14,99","14,99",PENDENTE,FALSE,acc-credito,fat-credito-2026-10,RECORRENTE,migrado-saidas
tx-2026-11-crunchyroll,tpl-crunchyroll,2026-11,Crunchyroll,cat-meli,"14,99","14,99",PENDENTE,FALSE,acc-credito,fat-credito-2026-11,RECORRENTE,migrado-saidas
tx-2026-12-crunchyroll,tpl-crunchyroll,2026-12,Crunchyroll,cat-meli,"14,99","14,99",PENDENTE,FALSE,acc-credito,fat-credito-2026-12,RECORRENTE,migrado-saidas
tx-2024-08-jus-brasil,tpl-jus-brasil,2024-08,Jus Brasil,cat-crunchyroll,"1,9","1,9",PAGO,FALSE,acc-credito,fat-credito-2024-08,RECORRENTE,migrado-saidas
tx-2024-09-jus-brasil,tpl-jus-brasil,2024-09,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2024-09,RECORRENTE,migrado-saidas
tx-2024-10-jus-brasil,tpl-jus-brasil,2024-10,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2024-10,RECORRENTE,migrado-saidas
tx-2024-11-jus-brasil,tpl-jus-brasil,2024-11,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2024-11,RECORRENTE,migrado-saidas
tx-2024-12-jus-brasil,tpl-jus-brasil,2024-12,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2024-12,RECORRENTE,migrado-saidas
tx-2025-01-jus-brasil,tpl-jus-brasil,2025-01,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2025-01,RECORRENTE,migrado-saidas
tx-2025-02-jus-brasil,tpl-jus-brasil,2025-02,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2025-02,RECORRENTE,migrado-saidas
tx-2025-03-jus-brasil,tpl-jus-brasil,2025-03,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2025-03,RECORRENTE,migrado-saidas
tx-2025-04-jus-brasil,tpl-jus-brasil,2025-04,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2025-04,RECORRENTE,migrado-saidas
tx-2025-05-jus-brasil,tpl-jus-brasil,2025-05,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2025-05,RECORRENTE,migrado-saidas
tx-2025-06-jus-brasil,tpl-jus-brasil,2025-06,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2025-06,RECORRENTE,migrado-saidas
tx-2025-07-jus-brasil,tpl-jus-brasil,2025-07,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2025-07,RECORRENTE,migrado-saidas
tx-2025-08-jus-brasil,tpl-jus-brasil,2025-08,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2025-08,RECORRENTE,migrado-saidas
tx-2025-09-jus-brasil,tpl-jus-brasil,2025-09,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2025-09,RECORRENTE,migrado-saidas
tx-2025-10-jus-brasil,tpl-jus-brasil,2025-10,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2025-10,RECORRENTE,migrado-saidas
tx-2025-11-jus-brasil,tpl-jus-brasil,2025-11,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2025-11,RECORRENTE,migrado-saidas
tx-2025-12-jus-brasil,tpl-jus-brasil,2025-12,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2025-12,RECORRENTE,migrado-saidas
tx-2026-01-jus-brasil,tpl-jus-brasil,2026-01,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2026-01,RECORRENTE,migrado-saidas
tx-2026-02-jus-brasil,tpl-jus-brasil,2026-02,Jus Brasil,cat-crunchyroll,"29,9","29,9",PAGO,FALSE,acc-credito,fat-credito-2026-02,RECORRENTE,migrado-saidas
